stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10416,,Stanley St and Schultz St,41.658954,-72.768443,,,0,
10417,,Stanley St and Bingham St,41.656335,-72.767659,,,0,
10418,,Stanley St and South St,41.652914,-72.769186,,,0,
10419,,South St and Stanley St,41.652520,-72.767929,,,0,
1042,,Brewer St and Opp Mitchell Dr,41.745963,-72.611189,,,0,
10420,,South St and Opp Sherrill St,41.652733,-72.765812,,,0,
10421,,South St and Opp East St,41.653009,-72.763308,,,0,
10427,,Christian Ln and DSS,41.653314,-72.749821,,,0,
10428,,John Downey Dr and South St,41.654281,-72.752880,,,0,
10429,,John Downey Dr and Opp Precision Ct,41.659769,-72.753951,,,0,
10430,,John Downey Dr and Opp Production Ct,41.665042,-72.755180,,,0,
10431,,Belden St and Wildwood St,41.667545,-72.756096,,,0,
10432,,Woodland Ave and Metropolitan Learning Ctr,41.869526,-72.725449,,,0,
10433,,Woodland Ave and Opp Metropolitan Learning Ctr,41.869561,-72.725182,,,0,
10435,,John Downey Dr and Production Ct,41.664622,-72.755422,,,0,
10436,,South St and Lowell St,41.654014,-72.754901,,,0,
1044,,Brewer St and 274 Brewer St,41.745160,-72.617041,,,0,
10440,,John Downey Dr and Precision Ct,41.659295,-72.754012,,,0,
10441,,Rocky Hill Ave and South St,41.653775,-72.758469,,,0,
10442,,Rocky Hill Ave and Halsey Rd,41.655813,-72.758806,,,0,
10443,,Rocky Hill Ave and Bingham St,41.657645,-72.759457,,,0,
10444,,Rocky Hill Ave and Ellis St,41.658879,-72.761258,,,0,
10445,,Rocky Hill Ave and 98 Rocky Hill Ave,41.659800,-72.761777,,,0,
10446,,Rocky Hill Ave and Kelsey St,41.661998,-72.762259,,,0,
1045,,Brewer St and 236 Brewer St,41.744842,-72.619331,,,0,
10455,,Stanley St and Whiting St,41.662627,-72.769396,,,0,
10456,,Stanley St and Pleasant St,41.664022,-72.770121,,,0,
10457,,Stanley St and Park st,41.665872,-72.771002,,,0,
10458,,Chestnut St and Stanley St,41.666516,-72.772187,,,0,
10459,,Chestnut St and Goodwill,41.666240,-72.774909,,,0,
1046,,Brewer St and Opp Jefferson Ln,41.744488,-72.622021,,,0,
10461,,Rockville Park and Ride lot and Reservoir Rd,41.852794,-72.430331,,,0,
10464,,Vernon Park and Ride Lot and Hartford Tpke,41.827898,-72.485340,,,0,
1047,,Brewer St and Opp Graham Rd,41.744100,-72.624796,,,0,
1048,,Brewer St and Glenn Rd,41.743923,-72.626019,,,0,
10482,,Elm St and West St,41.763119,-72.677716,,,0,
10483,,Middletown Ave and Flint St,41.328022,-72.877968,,,0,
10488,,Saltonstall Pkwy and Main St,41.277269,-72.861823,,,0,
10489,,E Main St and Opp Chestnut St,41.284785,-72.809390,,,0,
1049,,Brewer St and Opp Mill Rd,41.743534,-72.628770,,,0,
10490,,E Main St and N Main St,41.289473,-72.800040,,,0,
10491,,E Main St and Opp Mill Plain Rd,41.291330,-72.795033,,,0,
10492,,E Main St and Windmill Hill Rd,41.292373,-72.788173,,,0,
10493,,E Main St and Frist Niagra Bank,41.295141,-72.781987,,,0,
10494,,E Main St and Featherbed Ln,41.297060,-72.778098,,,0,
10495,,E Main St and Business Park Dr,41.298263,-72.772754,,,0,
10496,,E Main St and Leetes Island Rd,41.299207,-72.765159,,,0,
10497,,E Main St and Opp Notch Hill Rd,41.311032,-72.745361,,,0,
10498,,Boston Post Rd and Bruce Ln,41.311036,-72.738079,,,0,
10499,,Boston Post Rd and Opp West Lake Ave,41.308507,-72.724361,,,0,
105,,Webster Hill Blvd and Boswell Rd,41.738921,-72.739166,,,0,
1050,,Brewer St and Opp Hamilton Rd,41.743260,-72.630793,,,0,
10500,,Boston Post Rd and Opp Flag Marsh Rd,41.305066,-72.712426,,,0,
10501,,Boston Post Rd and Opp Sound Medical Ctr,41.295364,-72.702105,,,0,
10502,,Boston Post Rd and Opp Long Hill Rd,41.288405,-72.692997,,,0,
10505,,E Main St and Willow Rd,41.288009,-72.803999,,,0,
10506,,E Main St and Opp Baldwin Dr,41.305320,-72.754527,,,0,
10507,,State St and Boston Post Rd,41.287928,-72.681951,,,0,
10508,,Boston Post Rd and Goose Ln,41.288559,-72.664334,,,0,
10509,,Boston Post Rd and Opp E River Rd,41.285517,-72.647797,,,0,
1051,,Main St and Brewer St,41.743335,-72.632924,,,0,
10510,,Boston Post Rd and Opp Wildwood Ave,41.284959,-72.638389,,,0,
10511,,Boston Post Rd and 188 Boston Post Rd,41.281088,-72.630711,,,0,
10512,,Boston Post Rd and Neck Rd,41.278143,-72.626340,,,0,
10513,,Boston Post Rd and Opp Stony Ln,41.278210,-72.618195,,,0,
10514,,Boston Post Rd and W Warf Rd,41.276906,-72.607696,,,0,
10515,,Boston Post Rd and Island Ave,41.278672,-72.601254,,,0,
10516,,Boston Post Rd and Village Walk,41.288786,-72.674164,,,0,
1052,,Riverview Sq and Two Rivers Magnet School,41.757335,-72.655041,,,0,
10523,,Hopmeadow St and Opp Sand Pit,41.910427,-72.788686,,,0,
10524,,Hopmeadow St and Sand Pit,41.910714,-72.789025,,,0,
10525,,W Main St and Wal - Mart,41.812101,-72.852142,,,0,
1053,,Main St and Opp Ensign St,41.747262,-72.635832,,,0,
1055,,Main St and P and W Office,41.749322,-72.638370,,,0,
1056,,Main St and Willow St,41.751495,-72.639491,,,0,
10576,,New Britain Ave and NAPA Auto Parts,41.730033,-72.721911,,,0,
10577,,Bloomfiel Ave and Opp Saint Thomas Seminary,41.806364,-72.729238,,,0,
